feature,gain,weight,cover
clim_dryday_doy,5263.6435546875,36.0,54440.6953125
clim_false_rate,2025.3643798828125,65.0,57276.23046875
clim_rain_doy,971.5894165039062,39.0,42019.10546875
olr_merid_anom_5d,751.9364624023438,52.0,33186.0234375
olr_eio_anom_5d,667.2164306640625,51.0,29858.994140625
clim_onset_doy,602.7492065429688,119.0,32016.126953125
clim_first_cand_doy,570.1974487304688,117.0,41109.59375
mjo_phase,461.3023376464844,40.0,16056.3125
rmm2,390.34893798828125,92.0,18432.705078125
trough_slp_anom_5d,370.61865234375,74.0,27329.953125
days_since_rain,357.4725646972656,23.0,40485.05859375
doy,348.5014343261719,202.0,18463.828125
wet_days_30d,342.7288513183594,73.0,47845.9375
olr_eio_anom_15d,327.5068664550781,88.0,24818.580078125
wf_shear_anom_15d,324.4460144042969,119.0,26356.7421875
onset_doy_anom,304.57855224609375,144.0,15005.9599609375
olr_bob_tend10,277.8171081542969,45.0,18909.57421875
olr_merid_anom_15d,276.3993225097656,67.0,35126.01171875
reg_dry,269.7395324707031,85.0,14116.494140625
rain_1d,266.2437744140625,31.0,33730.87109375
trough_slp_tend10,263.544921875,74.0,27584.404296875
rain_3d,261.1041259765625,33.0,17185.86328125
tt_grad_anom_5d,244.66529846191406,84.0,28363.369140625
olr_merid_tend10,244.00230407714844,42.0,32106.521484375
tt_grad_anom_15d,236.89097595214844,100.0,21228.578125
olr_bob_anom_15d,234.9056396484375,70.0,18622.64453125
mjo_amp_15d,233.5208740234375,125.0,34055.09765625
trough_slp_anom_15d,225.35623168945312,98.0,44860.01171875
mjo_sin,221.5655975341797,35.0,14016.0322265625
llj_u850_anom_15d,216.3038787841797,75.0,14456.443359375
llj_u850_anom_5d,207.51492309570312,47.0,12888.91796875
olr_kar_anom_15d,204.83470153808594,77.0,16651.716796875
wf_shear_anom_5d,201.97476196289062,51.0,18013.482421875
v850_bob_anom_15d,200.33450317382812,93.0,27616.890625
rain_7d_vs_region,195.57852172851562,64.0,12943.982421875
wf_shear_tend10,195.21934509277344,44.0,8342.173828125
olr_eio_tend10,192.04718017578125,41.0,17565.1640625
wy_shear_anom_5d,191.01602172851562,57.0,17359.330078125
rmm1,188.02947998046875,70.0,16191.1923828125
olr_bob_anom_5d,187.7277069091797,39.0,12538.4658203125
olr_kar_anom_5d,187.22010803222656,56.0,17977.77734375
rmm2_tend10,185.2932891845703,53.0,25717.126953125
wy_shear_anom_15d,182.5651092529297,102.0,14618.93359375
mjo_cos,181.4147491455078,46.0,14553.232421875
mjo_angvel10,180.74636840820312,56.0,36039.0078125
spell_deficit,176.40457153320312,58.0,18556.53515625
olr_kar_tend10,161.70802307128906,55.0,17985.41796875
tt_grad_tend10,158.51483154296875,77.0,26231.35546875
mjo_sin_valid_7d,158.1076202392578,44.0,20259.486328125
rmm1_tend10,153.93809509277344,91.0,33662.7578125
mjo_amp,151.24317932128906,56.0,14878.2646484375
days_since_wet_spell,146.8741455078125,46.0,9948.9697265625
reg_rain_7d,142.1504364013672,109.0,13637.78125
v850_bob_anom_5d,141.609375,39.0,21132.7265625
v850_bob_tend10,140.21209716796875,44.0,17276.57421875
llj_u850_tend10,132.94903564453125,46.0,20000.724609375
mjo_inactive,130.63787841796875,2.0,43892.9453125
wy_shear_tend10,130.1246337890625,73.0,13229.8779296875
mjo_cos_valid_7d,126.06195068359375,27.0,8967.18359375
rain_30d,103.27132415771484,81.0,7295.29150390625
rain_7d,97.11858367919922,30.0,22987.638671875
wet_spell_seen,87.63907623291016,8.0,1917.6876220703125
rain_14d,71.8825912475586,61.0,28649.296875
wet_spell_today,0.0,0.0,0.0
