feature,gain,weight,cover
rain_3d,3184.0869140625,43.0,33735.59765625
clim_dryday_doy,2306.871337890625,29.0,26017.33203125
days_since_rain,2169.3876953125,26.0,34075.02734375
rain_1d,1369.8072509765625,29.0,41711.359375
clim_rain_doy,826.3839721679688,32.0,27437.7421875
spell_deficit,739.1036376953125,45.0,22913.267578125
doy,664.6720581054688,135.0,17292.640625
trough_slp_anom_5d,561.2200317382812,56.0,18929.34375
days_since_wet_spell,539.10107421875,56.0,13212.8486328125
clim_false_rate,499.10479736328125,40.0,10060.775390625
wet_spell_today,490.3211364746094,25.0,22671.345703125
onset_doy_anom,451.3155822753906,104.0,15174.7177734375
olr_merid_anom_5d,445.34259033203125,45.0,17195.373046875
mjo_inactive,352.052734375,1.0,1507.41455078125
reg_dry,348.6291809082031,51.0,19436.9453125
olr_eio_anom_15d,348.24053955078125,63.0,14810.3525390625
clim_first_cand_doy,310.34283447265625,103.0,21482.380859375
trough_slp_tend10,306.4882507324219,33.0,17363.5390625
olr_merid_anom_15d,297.93359375,54.0,17756.349609375
rain_7d,296.8291320800781,18.0,7148.638671875
mjo_phase,269.4772644042969,24.0,12111.2265625
mjo_cos,255.2513885498047,36.0,14296.5087890625
olr_bob_anom_5d,231.61102294921875,35.0,19942.443359375
rmm1_tend10,228.65872192382812,47.0,23711.486328125
clim_onset_doy,221.74867248535156,99.0,13812.3583984375
olr_eio_anom_5d,218.77696228027344,38.0,7618.61767578125
mjo_angvel10,218.4839324951172,20.0,12865.6630859375
tt_grad_anom_15d,205.43572998046875,68.0,12170.8818359375
olr_bob_tend10,205.1233673095703,26.0,19082.033203125
rain_7d_vs_region,203.3207244873047,36.0,8257.94921875
rmm1,202.94314575195312,51.0,10944.482421875
llj_u850_anom_5d,200.87327575683594,32.0,16498.36328125
mjo_amp_15d,195.29981994628906,69.0,17526.779296875
wf_shear_anom_15d,194.27723693847656,68.0,10212.5556640625
wf_shear_anom_5d,186.91921997070312,47.0,22873.005859375
olr_kar_anom_15d,183.03396606445312,53.0,25679.771484375
llj_u850_tend10,182.37120056152344,23.0,30262.978515625
llj_u850_anom_15d,177.90716552734375,86.0,15395.146484375
olr_eio_tend10,175.91993713378906,35.0,25546.677734375
v850_bob_anom_15d,169.3356475830078,41.0,22908.705078125
wy_shear_anom_15d,165.85635375976562,45.0,15329.6552734375
olr_kar_anom_5d,163.56944274902344,21.0,6645.50732421875
olr_kar_tend10,159.86634826660156,27.0,5888.6337890625
rmm2,159.48216247558594,65.0,20080.369140625
wf_shear_tend10,158.3278045654297,31.0,17489.732421875
tt_grad_anom_5d,158.0980682373047,50.0,9213.2958984375
olr_bob_anom_15d,156.62432861328125,69.0,10741.345703125
wy_shear_anom_5d,152.8863067626953,34.0,25491.126953125
tt_grad_tend10,151.09751892089844,30.0,6880.546875
v850_bob_tend10,149.9875030517578,31.0,19420.515625
wy_shear_tend10,148.68154907226562,30.0,19503.87109375
trough_slp_anom_15d,146.70069885253906,65.0,11268.76171875
mjo_sin,144.4201202392578,32.0,9984.2236328125
reg_rain_7d,141.75506591796875,54.0,12044.3662109375
rmm2_tend10,125.17046356201172,30.0,8937.0537109375
mjo_amp,123.9380874633789,38.0,11248.517578125
rain_30d,118.47747802734375,56.0,19079.02734375
mjo_cos_valid_7d,116.23381805419922,16.0,8641.791015625
wet_days_30d,114.06015014648438,31.0,16905.736328125
v850_bob_anom_5d,111.85272216796875,21.0,19234.61328125
olr_merid_tend10,110.86559295654297,22.0,9562.00390625
mjo_sin_valid_7d,73.46704864501953,16.0,19293.736328125
rain_14d,60.29264831542969,38.0,12448.2470703125
wet_spell_seen,32.804046630859375,2.0,206.51174926757812
