feature,gain,weight,cover
clim_dryday_doy,4595.79541015625,47.0,7147.02783203125
clim_rain_doy,3882.26318359375,221.0,17469.021484375
clim_false_rate,1172.0595703125,132.0,10240.23046875
clim_onset_doy,870.6036987304688,354.0,9481.962890625
rain_7d_vs_region,267.4807434082031,181.0,9298.166015625
doy,251.04747009277344,513.0,5259.02001953125
rain_1d,236.1128692626953,192.0,7756.40966796875
clim_first_cand_doy,205.16537475585938,341.0,6915.623046875
onset_doy_anom,152.28465270996094,344.0,5144.9580078125
wet_spell_seen,131.75265502929688,10.0,5029.2119140625
reg_dry,128.60108947753906,194.0,1760.92529296875
rain_7d,126.15697479248047,61.0,3107.433837890625
rmm1_tend10,122.49809265136719,244.0,3753.172607421875
mjo_inactive,107.42736053466797,4.0,2423.93115234375
rain_3d,104.37564086914062,72.0,4238.11474609375
olr_merid_anom_5d,92.163330078125,120.0,5129.580078125
olr_eio_anom_5d,91.7520523071289,200.0,4189.71826171875
rain_30d,91.39408111572266,317.0,5557.4951171875
wf_shear_anom_15d,88.11553192138672,309.0,4203.07763671875
olr_kar_anom_5d,86.19038391113281,152.0,2340.705322265625
rain_14d,82.98162841796875,185.0,5059.63525390625
trough_slp_anom_5d,82.66632843017578,206.0,3402.185791015625
olr_bob_anom_15d,82.24735260009766,196.0,3610.73193359375
mjo_phase,80.7964096069336,94.0,2832.420654296875
rmm1,79.43126678466797,210.0,3164.817626953125
spell_deficit,79.3218765258789,178.0,6510.6923828125
mjo_sin,79.2629623413086,131.0,4225.82275390625
tt_grad_anom_15d,76.04444122314453,299.0,4712.6669921875
trough_slp_anom_15d,74.02840423583984,218.0,3612.435791015625
llj_u850_anom_5d,72.38076782226562,148.0,2067.38232421875
mjo_amp,72.03034973144531,137.0,2018.2274169921875
olr_eio_anom_15d,71.97496032714844,223.0,2269.985595703125
llj_u850_anom_15d,70.81775665283203,259.0,3000.635986328125
olr_kar_anom_15d,70.2308349609375,208.0,2456.254638671875
tt_grad_anom_5d,69.59907531738281,170.0,2516.4462890625
mjo_amp_15d,69.54893493652344,355.0,3871.3974609375
v850_bob_anom_15d,69.0078353881836,258.0,3911.8564453125
mjo_cos,68.8131332397461,166.0,2412.7353515625
v850_bob_tend10,67.68997955322266,120.0,2086.683349609375
rmm2,67.21082305908203,155.0,3123.79296875
reg_rain_7d,65.87168884277344,195.0,2760.06689453125
wf_shear_anom_5d,65.83244323730469,145.0,5759.33251953125
wy_shear_anom_15d,65.61290740966797,277.0,3915.083984375
tt_grad_tend10,62.50733184814453,159.0,5220.23486328125
wy_shear_anom_5d,62.04726791381836,106.0,1747.1322021484375
wet_spell_today,62.015350341796875,5.0,1482.7490234375
olr_bob_anom_5d,61.98930740356445,109.0,2472.9638671875
olr_merid_anom_15d,61.48854446411133,175.0,2607.66748046875
wf_shear_tend10,60.551483154296875,143.0,2373.576416015625
mjo_cos_valid_14d,60.232112884521484,68.0,2224.875732421875
llj_u850_tend10,59.92874526977539,145.0,2637.56787109375
wet_days_30d,57.48524475097656,121.0,2291.74267578125
olr_eio_tend10,56.5042610168457,171.0,2577.27001953125
wy_shear_tend10,55.81222152709961,138.0,2153.82568359375
olr_bob_tend10,55.767974853515625,111.0,1886.1785888671875
days_since_rain,55.728458404541016,6.0,3882.75
olr_kar_tend10,53.86725616455078,160.0,2057.69970703125
v850_bob_anom_5d,53.410213470458984,68.0,1624.04736328125
trough_slp_tend10,53.23336410522461,148.0,2286.14990234375
olr_merid_tend10,53.117088317871094,77.0,2790.3720703125
days_since_wet_spell,53.083709716796875,66.0,1542.473388671875
rmm2_tend10,50.29292678833008,164.0,3148.895751953125
mjo_angvel10,50.28025817871094,150.0,2831.016357421875
mjo_sin_valid_14d,44.146812438964844,78.0,1505.212646484375
