feature,gain,weight,cover
wet_spell_today,14010.1640625,37.0,88671.4453125
rain_3d,5801.861328125,105.0,49734.49609375
clim_dryday_doy,2030.298583984375,50.0,78316.6015625
wet_spell_seen,1724.2261962890625,17.0,14976.2734375
clim_false_rate,1314.740234375,105.0,33717.5390625
rain_1d,1136.7412109375,66.0,44583.625
mjo_phase,1017.7405395507812,50.0,26280.455078125
rmm1,982.472900390625,52.0,19679.228515625
wf_shear_anom_15d,911.54736328125,57.0,29741.326171875
clim_first_cand_doy,889.968505859375,190.0,28937.65234375
onset_doy_anom,876.2091674804688,176.0,26297.794921875
rain_7d_vs_region,848.219970703125,45.0,17593.814453125
days_since_wet_spell,823.8770751953125,51.0,22265.298828125
olr_eio_anom_5d,769.1627197265625,73.0,24793.755859375
clim_rain_doy,739.69873046875,57.0,44581.65234375
mjo_cos,724.9013061523438,46.0,15317.3203125
olr_merid_anom_5d,708.9400024414062,43.0,14343.9970703125
wet_days_30d,703.530029296875,97.0,32751.81640625
wf_shear_anom_5d,674.3653564453125,65.0,30016.509765625
llj_u850_anom_5d,655.7543334960938,55.0,15396.92578125
doy,637.14501953125,251.0,15984.666015625
days_since_rain,628.428955078125,72.0,29663.21484375
rmm2,560.6217651367188,73.0,22230.51953125
mjo_angvel10,447.0823669433594,59.0,34793.2890625
ecmwf_mean_mm_28d,434.9709777832031,41.0,65939.7890625
reg_rain_7d,431.8003234863281,68.0,20676.296875
olr_eio_tend10,407.1026306152344,39.0,10280.3330078125
trough_slp_anom_5d,396.3788146972656,59.0,16246.955078125
olr_merid_tend10,393.9278869628906,32.0,18957.927734375
mjo_cos_valid_21d,391.8502502441406,5.0,3135.419921875
rmm2_tend10,370.9297790527344,43.0,23894.458984375
mjo_amp_15d,370.53759765625,134.0,30860.974609375
clim_onset_doy,362.3967590332031,119.0,21394.443359375
wy_shear_anom_15d,354.1298828125,64.0,10096.22265625
wy_shear_tend10,343.3965148925781,47.0,44354.5234375
rmm1_tend10,343.2169494628906,68.0,20849.01171875
llj_u850_anom_15d,340.2112731933594,73.0,18355.40234375
rain_30d,332.20562744140625,59.0,15934.888671875
tt_grad_anom_5d,331.77825927734375,76.0,16930.828125
mjo_sin,314.63616943359375,49.0,16098.515625
trough_slp_anom_15d,313.30694580078125,71.0,26925.08203125
llj_u850_tend10,307.34918212890625,26.0,10247.7490234375
olr_merid_anom_15d,304.83782958984375,50.0,8922.62109375
spell_deficit,304.07708740234375,84.0,35705.48828125
trough_slp_tend10,300.39208984375,51.0,19951.5625
wy_shear_anom_5d,298.5151062011719,54.0,11391.6611328125
wf_shear_tend10,296.6764831542969,28.0,39843.96875
v850_bob_anom_15d,294.2966613769531,77.0,25148.49609375
olr_eio_anom_15d,267.8144836425781,51.0,17848.59765625
olr_bob_anom_5d,267.4358215332031,32.0,28203.37890625
olr_bob_tend10,267.0589904785156,35.0,23219.75
tt_grad_anom_15d,264.45806884765625,114.0,17221.2578125
ecmwf_mean_mm_21d,258.5843200683594,30.0,29119.78125
tt_grad_tend10,250.39373779296875,61.0,29480.982421875
reg_dry,242.16217041015625,67.0,18308.796875
mjo_amp,235.87957763671875,42.0,18192.185546875
olr_bob_anom_15d,226.37928771972656,54.0,14734.0712890625
olr_kar_anom_15d,223.42630004882812,43.0,6037.1923828125
olr_kar_anom_5d,209.17001342773438,41.0,5368.14501953125
rain_7d,167.023681640625,20.0,7400.99755859375
v850_bob_tend10,166.27133178710938,25.0,5289.90625
olr_kar_tend10,164.17306518554688,20.0,15167.2392578125
mjo_sin_valid_21d,133.6142120361328,30.0,52480.76953125
v850_bob_anom_5d,131.30787658691406,24.0,7019.41259765625
ecmwf_std_mm_14d,127.59949493408203,12.0,15468.1826171875
ecmwf_mean_mm_14d,116.22907257080078,14.0,22883.408203125
ecmwf_std_mm_28d,106.4883804321289,10.0,40648.32421875
rain_14d,101.40768432617188,25.0,4576.0390625
ecmwf_std_mm_21d,83.3316421508789,8.0,2084.99658203125
ecmwf_mean_mm_7d,51.25286102294922,13.0,781.988037109375
ecmwf_std_mm_7d,24.405912399291992,2.0,133.54910278320312
mjo_inactive,0.0,0.0,0.0
