feature,gain,weight,cover
rmm1_tend10,686.1458740234375,65.0,19652.56640625
onset_doy_anom,550.09228515625,87.0,15891.9267578125
mjo_cos,496.9399108886719,17.0,5562.08203125
doy,350.45452880859375,129.0,7850.708984375
olr_bob_anom_15d,314.71392822265625,36.0,6143.830078125
reg_rain_7d,311.9046630859375,80.0,5904.52392578125
wf_shear_tend10,307.4306945800781,51.0,10731.130859375
wy_shear_anom_5d,302.8426818847656,36.0,3828.1953125
olr_kar_anom_15d,297.14190673828125,47.0,5641.75
tt_grad_tend10,276.73504638671875,70.0,6165.83349609375
rmm1,269.88165283203125,50.0,9265.2177734375
olr_merid_anom_5d,264.1375427246094,34.0,2470.446044921875
clim_first_cand_doy,258.27252197265625,119.0,6293.0634765625
olr_bob_anom_5d,251.1928253173828,31.0,5458.6494140625
wf_shear_anom_15d,250.96719360351562,57.0,3462.707275390625
olr_eio_anom_15d,245.04310607910156,60.0,4629.921875
olr_kar_anom_5d,244.47840881347656,28.0,1372.2574462890625
llj_u850_tend10,244.15719604492188,27.0,7018.2412109375
mjo_sin,244.06674194335938,28.0,3638.204345703125
olr_eio_tend10,242.80477905273438,43.0,3420.33056640625
rmm2_tend10,240.6199188232422,49.0,6292.22705078125
llj_u850_anom_5d,238.3418426513672,32.0,5548.5908203125
tt_grad_anom_15d,225.73451232910156,73.0,9572.7626953125
olr_kar_tend10,225.6502227783203,26.0,2706.9697265625
mjo_amp,223.05221557617188,45.0,7811.81787109375
wy_shear_anom_15d,220.86422729492188,73.0,4139.73828125
wf_shear_anom_5d,219.5908660888672,41.0,6371.21923828125
clim_false_rate,216.084716796875,66.0,10442.3505859375
v850_bob_tend10,213.8733367919922,22.0,2358.4345703125
llj_u850_anom_15d,212.6715850830078,69.0,2714.49267578125
rmm2,212.58094787597656,45.0,5917.61962890625
clim_rain_doy,210.0874786376953,15.0,18201.763671875
tt_grad_anom_5d,205.3191680908203,40.0,5859.8310546875
trough_slp_anom_15d,198.63320922851562,71.0,6220.80908203125
trough_slp_tend10,193.5304718017578,56.0,2984.295166015625
olr_eio_anom_5d,191.08975219726562,21.0,2360.356689453125
reg_dry,189.2360076904297,36.0,3450.19970703125
olr_merid_anom_15d,184.11614990234375,65.0,4311.8056640625
wy_shear_tend10,178.20440673828125,44.0,4373.73876953125
olr_bob_tend10,172.74005126953125,32.0,2569.708740234375
trough_slp_anom_5d,170.3110809326172,37.0,6669.09130859375
wet_days_30d,169.5828857421875,48.0,11476.1640625
mjo_angvel10,169.0522003173828,43.0,5824.74951171875
mjo_amp_15d,167.54843139648438,80.0,4175.5400390625
mjo_phase,154.4531707763672,19.0,3517.053466796875
v850_bob_anom_15d,143.74810791015625,72.0,2322.878662109375
v850_bob_anom_5d,140.79298400878906,12.0,1638.6297607421875
clim_dryday_doy,128.68536376953125,10.0,8939.265625
ecmwf_std_mm_28d,126.41742706298828,9.0,23175.6796875
olr_merid_tend10,125.6484146118164,25.0,3217.887451171875
rain_30d,96.93465423583984,45.0,5868.0068359375
rain_7d_vs_region,83.18291473388672,26.0,911.2373657226562
spell_deficit,71.33121490478516,32.0,6230.55322265625
rain_14d,62.61627960205078,27.0,1030.906494140625
ecmwf_std_mm_7d,61.88593673706055,3.0,855.1935424804688
wet_spell_seen,59.86793518066406,2.0,90.38265991210938
days_since_wet_spell,58.394927978515625,28.0,719.7640991210938
ecmwf_mean_mm_7d,56.232177734375,7.0,641.7579956054688
clim_onset_doy,50.59907913208008,56.0,4061.109130859375
days_since_rain,48.18327713012695,5.0,339.69610595703125
ecmwf_mean_mm_14d,39.51449966430664,3.0,515.5755004882812
ecmwf_std_mm_21d,34.88344955444336,3.0,97.30902099609375
rain_7d,28.788827896118164,25.0,259.2916259765625
ecmwf_mean_mm_28d,26.91583824157715,5.0,326.35235595703125
ecmwf_std_mm_14d,24.21770477294922,2.0,272.906494140625
ecmwf_mean_mm_21d,19.249706268310547,4.0,214.08831787109375
rain_3d,18.87154769897461,7.0,95.59405517578125
rain_1d,5.9952216148376465,4.0,17.62525749206543
mjo_inactive,0.0,0.0,0.0
wet_spell_today,0.0,0.0,0.0
